Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated
Kobe Bryant,LAL,80.0,41.0,12.2,27.2,0.45,2.3,0.347,10.0,0.482,0.491,8.7,10.2,0.85,0.9,4.4,5.3,4.5,1.8,0.4,3.1,35.4,2005-06,0.56,0.35,0
Allen Iverson,PHI,72.0,43.1,11.3,25.3,0.447,1.0,0.323,10.3,0.465,0.467,9.4,11.5,0.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,33.0,2005-06,0.54,0.36,1
LeBron James,CLE,79.0,42.5,11.1,23.1,0.48,1.6,0.335,9.5,0.518,0.515,7.6,10.3,0.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,31.4,2005-06,0.57,0.37,1
Gilbert Arenas,WAS,80.0,42.3,9.3,20.9,0.447,2.5,0.369,6.8,0.485,0.507,8.2,10.0,0.82,0.7,2.8,3.5,6.1,2.0,0.3,3.7,29.3,2005-06,0.58,0.3,1
Dwyane Wade,MIA,75.0,38.6,9.3,18.8,0.495,0.2,0.171,9.1,0.513,0.499,8.4,10.7,0.783,1.4,4.3,5.7,6.7,1.9,0.8,3.6,27.2,2005-06,0.58,0.36,1
Paul Pierce,BOS,79.0,39.0,8.7,18.5,0.471,1.4,0.354,7.3,0.503,0.509,7.9,10.3,0.772,1.0,5.7,6.7,4.7,1.4,0.4,3.5,26.8,2005-06,0.58,0.31,0
Dirk Nowitzki,DAL,81.0,38.1,9.3,19.3,0.48,1.4,0.406,7.9,0.496,0.515,6.7,7.4,0.901,1.4,7.6,9.0,2.8,0.7,1.0,1.9,26.6,2005-06,0.59,0.34,1
Carmelo Anthony,DEN,80.0,36.8,9.5,19.7,0.481,0.5,0.243,9.0,0.506,0.493,7.2,8.9,0.808,1.5,3.4,4.9,2.7,1.1,0.5,2.7,26.5,2005-06,0.56,0.26,0
Michael Redd,MIL,80.0,39.1,8.5,19.0,0.45,2.0,0.395,6.5,0.471,0.504,6.3,7.1,0.877,1.0,3.3,4.3,2.9,1.2,0.1,2.1,25.4,2005-06,0.57,0.26,0
Ray Allen,SEA,78.0,38.7,8.7,19.2,0.454,3.4,0.412,5.3,0.486,0.544,4.2,4.6,0.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,25.1,2005-06,0.59,0.27,1
Elton Brand,LAC,79.0,39.2,9.6,18.2,0.527,0.0,0.333,9.6,0.527,0.527,5.6,7.2,0.775,3.0,7.0,10.0,2.6,1.0,2.5,2.2,24.7,2005-06,0.58,0.36,0
