Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
James Harden,HOU,72.0,35.4,9.0,20.1,0.449,3.7,0.367,5.4,0.531,0.541,8.7,10.1,0.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,30.4,2017-18,0.62,0.42,1,1,1
Anthony Davis,NOP,75.0,36.4,10.4,19.5,0.534,0.7,0.34,9.7,0.558,0.552,6.6,8.0,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,28.1,2017-18,0.61,0.44,1,9,1
LeBron James,CLE,82.0,36.9,10.5,19.3,0.542,1.8,0.367,8.6,0.603,0.59,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,27.5,2017-18,0.62,0.4,1,6,1
Giannis Antetokounmpo,MIL,75.0,36.7,9.9,18.7,0.529,0.6,0.307,9.3,0.554,0.545,6.5,8.5,0.76,2.1,8.0,10.0,4.8,1.5,1.4,3.0,26.9,2017-18,0.6,0.41,1,15,1
Damian Lillard,POR,73.0,36.6,8.5,19.4,0.439,3.1,0.361,5.4,0.501,0.519,6.8,7.4,0.916,0.8,3.6,4.5,6.6,1.1,0.4,2.8,26.9,2017-18,0.59,0.35,0,7,1
Stephen Curry,GSW,51.0,32.0,8.4,16.9,0.495,4.2,0.423,4.2,0.595,0.618,5.5,5.9,0.921,0.7,4.4,5.1,6.1,1.6,0.2,3.0,26.4,2017-18,0.68,0.54,1,3,1
Kevin Durant,GSW,68.0,34.2,9.3,18.0,0.516,2.5,0.419,6.7,0.565,0.586,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3.0,26.4,2017-18,0.64,0.42,1,3,1
Russell Westbrook,OKC,80.0,36.4,9.5,21.1,0.449,1.2,0.298,8.3,0.485,0.477,5.2,7.1,0.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,25.4,2017-18,0.52,0.37,1,11,1
DeMarcus Cousins,NOP,48.0,36.2,8.5,18.0,0.47,2.2,0.354,6.3,0.53,0.53,6.1,8.2,0.746,2.2,10.7,12.9,5.4,1.6,1.6,5.0,25.2,2017-18,0.58,0.63,0,9,1
Devin Booker,PHO,54.0,34.5,8.4,19.5,0.432,2.7,0.383,5.7,0.46,0.501,5.4,6.1,0.878,0.5,4.0,4.5,4.7,0.9,0.3,3.6,24.9,2017-18,0.56,0.37,0,30,0
Kyrie Irving,BOS,60.0,32.2,8.9,18.1,0.491,2.8,0.408,6.1,0.541,0.568,3.9,4.4,0.889,0.6,3.2,3.8,5.1,1.1,0.3,2.3,24.4,2017-18,0.61,0.38,0,4,1
LaMarcus Aldridge,SAS,75.0,33.5,9.2,18.0,0.51,0.4,0.293,8.8,0.526,0.52,4.5,5.3,0.837,3.3,5.2,8.5,2.0,0.6,1.2,1.5,23.1,2017-18,0.57,0.32,0,13,1
Victor Oladipo,IND,75.0,34.0,8.5,17.9,0.477,2.1,0.371,6.4,0.528,0.537,3.9,4.9,0.799,0.6,4.6,5.2,4.3,2.4,0.8,2.9,23.1,2017-18,0.58,0.3,0,8,1
DeMar DeRozan,TOR,80.0,33.9,8.1,17.7,0.456,1.1,0.31,7.0,0.494,0.488,5.8,7.0,0.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,23.0,2017-18,0.55,0.26,1,2,1
Joel Embiid,PHI,63.0,30.3,8.1,16.8,0.483,1.0,0.308,7.0,0.527,0.514,5.7,7.4,0.769,2.3,8.7,11.0,3.2,0.6,1.8,3.7,22.9,2017-18,0.57,0.4,0,5,1
Kristaps Porziņģis,NYK,48.0,32.4,8.1,18.5,0.439,1.9,0.395,6.3,0.454,0.489,4.5,5.7,0.793,1.3,5.3,6.6,1.2,0.8,2.4,1.9,22.7,2017-18,0.54,0.42,0,22,0
Bradley Beal,WAS,82.0,36.3,8.3,18.1,0.46,2.4,0.375,5.9,0.507,0.527,3.6,4.5,0.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,22.6,2017-18,0.56,0.24,0,17,1
