Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Team_Rank,Made_Playoffs,TS%,EFF,Nominated
Giannis Antetokounmpo,MIL,19.0,34.8,12.7,20.7,0.616,0.2,0.214,12.6,0.631,0.62,6.9,11.4,0.611,2.2,9.5,11.6,6.6,0.5,1.3,3.5,32.6,2024-25,16,0,0.63,1.93,0
LaMelo Ball,CHO,18.0,34.1,10.7,24.9,0.43,4.7,0.356,6.1,0.512,0.523,4.9,5.8,0.848,0.9,4.4,5.4,6.9,1.1,0.2,4.5,31.1,2024-25,26,0,0.57,1.39,0
Nikola Jokić,DEN,17.0,37.7,11.4,20.4,0.559,2.1,0.5,9.3,0.575,0.611,5.0,6.1,0.817,3.9,9.5,13.4,10.4,1.8,0.8,3.7,29.9,2024-25,12,0,0.65,2.5,0
Shai Gilgeous-Alexander,OKC,22.0,34.1,10.5,20.6,0.507,2.0,0.326,8.4,0.585,0.556,6.8,8.0,0.857,0.9,4.5,5.4,6.5,1.8,1.0,2.6,29.8,2024-25,3,0,0.62,1.39,0
Paolo Banchero,ORL,5.0,36.4,9.6,19.4,0.495,2.2,0.344,7.4,0.569,0.552,7.6,11.8,0.644,2.4,6.4,8.8,5.6,0.6,0.8,2.2,29.0,2024-25,7,0,0.59,5.72,0
Luka Dončić,DAL,17.0,36.6,10.1,22.4,0.45,3.4,0.339,6.7,0.538,0.525,5.2,6.9,0.752,0.6,7.4,8.0,7.9,1.8,0.4,3.3,28.6,2024-25,5,0,0.56,1.73,0
Jayson Tatum,BOS,21.0,36.4,9.1,20.1,0.454,4.0,0.374,5.2,0.542,0.552,6.2,7.7,0.802,0.5,8.1,8.6,5.6,1.3,0.6,3.0,28.4,2024-25,2,0,0.6,1.38,0
Anthony Davis,LAL,21.0,35.2,9.6,18.1,0.53,0.7,0.349,8.9,0.553,0.55,6.9,8.9,0.78,2.5,8.8,11.3,3.4,1.2,1.9,1.9,26.9,2024-25,13,0,0.61,1.54,0
De'Aaron Fox,SAC,23.0,37.7,9.9,20.3,0.485,2.1,0.338,7.7,0.551,0.537,5.0,6.2,0.803,1.1,4.0,5.1,5.8,1.9,0.2,3.6,26.8,2024-25,19,0,0.58,1.07,0
Anthony Edwards,MIN,21.0,36.4,9.0,20.4,0.443,4.5,0.423,4.6,0.464,0.552,3.6,4.5,0.8,0.7,4.8,5.5,3.7,1.4,0.6,3.0,26.2,2024-25,15,0,0.59,1.05,0
Damian Lillard,MIL,18.0,35.8,8.0,17.7,0.451,3.5,0.377,4.5,0.533,0.55,6.4,7.0,0.921,0.6,3.9,4.4,7.5,0.9,0.2,2.9,25.9,2024-25,16,0,0.62,1.43,0
Kevin Durant,PHO,13.0,35.7,9.2,17.2,0.536,2.7,0.449,6.5,0.582,0.614,4.6,5.8,0.8,0.2,6.5,6.7,3.1,0.5,1.5,3.3,25.8,2024-25,14,0,0.65,1.93,0
Jaylen Brown,BOS,17.0,36.3,8.5,19.8,0.432,2.6,0.333,5.9,0.495,0.497,5.5,7.2,0.764,1.5,4.8,6.4,4.6,1.2,0.4,2.5,25.2,2024-25,2,0,0.55,1.31,0
Karl-Anthony Towns,NYK,21.0,33.8,9.0,17.0,0.531,2.3,0.45,6.7,0.567,0.6,4.9,5.7,0.857,2.9,10.3,13.2,3.0,0.8,0.9,2.3,25.2,2024-25,8,0,0.65,1.52,0
Devin Booker,PHO,21.0,36.9,8.0,18.3,0.438,2.7,0.345,5.3,0.507,0.512,6.4,7.1,0.899,1.1,2.7,3.8,6.3,1.0,0.4,2.3,25.1,2024-25,14,0,0.59,1.11,0
Jalen Brunson,NYK,22.0,33.8,8.5,17.3,0.493,2.6,0.429,6.0,0.528,0.568,5.5,6.4,0.851,0.5,2.4,2.8,7.5,0.6,0.0,2.2,25.1,2024-25,8,0,0.62,1.1,0
Tyrese Maxey,PHI,14.0,36.4,8.8,21.5,0.409,2.9,0.305,5.9,0.488,0.475,4.4,5.1,0.861,0.2,3.0,3.2,4.8,2.0,0.4,1.9,24.9,2024-25,25,0,0.52,1.43,0
Cam Thomas,BRK,17.0,33.4,8.1,17.5,0.461,2.9,0.389,5.2,0.515,0.544,5.7,6.6,0.866,0.4,2.9,3.2,3.4,0.7,0.1,2.8,24.7,2024-25,20,0,0.61,1.12,0
Donovan Mitchell,CLE,22.0,31.7,8.8,19.3,0.455,3.8,0.412,5.0,0.495,0.554,3.1,3.9,0.812,0.6,4.2,4.8,4.2,1.6,0.4,2.1,24.5,2024-25,1,0,0.58,1.0,0
Franz Wagner,ORL,24.0,33.0,8.8,18.8,0.467,2.0,0.327,6.8,0.535,0.52,4.7,5.3,0.875,1.0,4.7,5.6,5.7,1.8,0.5,2.4,24.2,2024-25,7,0,0.57,1.03,0
Tyler Herro,MIA,20.0,34.7,8.3,17.7,0.467,4.3,0.42,4.0,0.534,0.589,3.3,3.9,0.857,0.3,5.0,5.2,4.9,0.8,0.1,2.5,24.1,2024-25,11,0,0.62,1.13,0
Kyrie Irving,DAL,21.0,34.9,9.0,18.0,0.499,3.0,0.457,6.0,0.523,0.583,3.0,3.5,0.877,1.2,3.6,4.9,5.3,1.2,0.2,2.1,24.1,2024-25,5,0,0.62,1.15,0
Norman Powell,LAC,17.0,32.4,8.3,16.4,0.505,4.0,0.507,4.3,0.503,0.627,3.4,4.0,0.838,0.3,2.6,2.9,2.4,1.1,0.2,2.1,23.9,2024-25,10,0,0.66,1.16,0
Cade Cunningham,DET,20.0,35.9,9.0,19.8,0.452,2.4,0.378,6.6,0.487,0.513,3.4,4.3,0.779,1.1,6.1,7.2,9.1,0.9,0.8,4.8,23.7,2024-25,23,0,0.55,1.26,0
RJ Barrett,TOR,20.0,34.5,8.5,18.7,0.456,2.0,0.342,6.5,0.508,0.509,4.6,6.5,0.713,0.9,5.8,6.7,6.0,0.8,0.3,3.4,23.6,2024-25,27,0,0.55,1.09,0
Victor Wembanyama,SAS,18.0,32.5,8.7,18.2,0.476,3.1,0.337,5.6,0.617,0.561,3.1,3.6,0.859,2.1,8.3,10.4,3.8,1.3,3.4,3.6,23.5,2024-25,18,0,0.59,1.6,0
Brandon Ingram,NOP,17.0,33.9,9.1,19.4,0.468,2.5,0.372,6.6,0.519,0.532,2.6,3.1,0.849,1.0,4.8,5.8,5.3,0.9,0.6,3.9,23.2,2024-25,29,0,0.56,1.24,0
DeMar DeRozan,SAC,18.0,36.2,8.3,16.8,0.497,0.6,0.289,7.7,0.527,0.515,5.4,6.5,0.838,0.6,3.6,4.2,4.2,1.5,0.6,1.8,22.7,2024-25,19,0,0.58,1.21,0
Zion Williamson,NOP,6.0,31.0,7.8,17.3,0.452,0.3,0.333,7.5,0.459,0.462,6.7,10.0,0.667,2.7,5.3,8.0,5.3,0.7,1.2,3.7,22.7,2024-25,29,0,0.52,3.57,0
Stephen Curry,GSW,16.0,30.2,7.5,16.4,0.456,4.2,0.419,3.3,0.515,0.584,3.4,3.6,0.947,0.5,5.1,5.6,6.6,1.4,0.5,3.4,22.6,2024-25,9,0,0.63,1.51,0
LeBron James,LAL,22.0,34.7,8.5,17.3,0.491,1.9,0.342,6.6,0.559,0.545,3.4,4.5,0.758,1.0,7.0,7.9,9.0,0.6,0.5,4.1,22.3,2024-25,13,0,0.58,1.2,0
Jaren Jackson Jr.,MEM,21.0,28.3,7.7,15.0,0.513,1.7,0.333,6.0,0.606,0.57,4.6,5.5,0.835,1.3,4.4,5.8,1.3,1.4,1.7,2.3,21.7,2024-25,4,0,0.62,1.02,0
Brandon Miller,CHO,18.0,34.1,7.6,18.7,0.407,4.1,0.371,3.6,0.457,0.515,2.4,2.7,0.896,1.0,4.2,5.2,3.5,1.3,0.7,2.7,21.7,2024-25,26,0,0.55,1.02,0
Nikola Vučević,CHI,23.0,31.9,8.7,14.7,0.592,2.2,0.468,6.5,0.651,0.667,2.1,2.5,0.842,2.0,7.9,9.9,3.3,0.7,0.8,1.9,21.7,2024-25,22,0,0.69,1.22,0
Jalen Williams,OKC,22.0,31.7,8.5,16.5,0.511,2.0,0.389,6.5,0.566,0.571,2.8,3.5,0.816,0.9,5.2,6.1,5.0,2.0,0.9,2.0,21.7,2024-25,3,0,0.6,1.14,0
James Harden,LAC,24.0,33.9,6.2,16.3,0.379,2.8,0.338,3.3,0.421,0.465,6.5,7.2,0.896,0.6,6.2,6.8,8.5,1.6,0.7,4.4,21.6,2024-25,10,0,0.55,1.0,0
CJ McCollum,NOP,10.0,33.0,8.3,18.4,0.451,2.9,0.341,5.4,0.545,0.53,1.9,3.0,0.633,0.7,3.0,3.7,3.4,1.4,0.4,1.4,21.4,2024-25,29,0,0.54,1.77,0
