Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Normalized Team,Conference,Division
New York Knicks,52,30,.634,—,116.7,112.9,3.62,New York Knicks,Eastern,Atlantic
Philadelphia 76ers,46,36,.561,6.0,111.9,110.4,1.68,Philadelphia 76ers,Eastern,Atlantic
Boston Celtics,42,40,.512,10.0,109.2,108.1,1.26,Boston Celtics,Eastern,Atlantic
Washington Bullets,40,42,.488,12.0,108.3,110.4,-1.77,Washington Wizards,Eastern,Atlantic
New Jersey Nets,26,56,.317,26.0,103.7,110.1,-5.69,Brooklyn Nets,Eastern,Atlantic
Charlotte Hornets,20,62,.244,32.0,104.5,113.0,-7.74,New Orleans Hornets,Eastern,Midwest
Detroit Pistons,63,19,.768,—,106.6,100.8,6.24,Detroit Pistons,Eastern,Central
Cleveland Cavaliers,57,25,.695,6.0,108.8,101.2,7.95,Cleveland Cavaliers,Eastern,Central
Atlanta Hawks,52,30,.634,11.0,111.0,106.1,5.26,Atlanta Hawks,Eastern,Central
Milwaukee Bucks,49,33,.598,14.0,108.9,105.3,4.11,Milwaukee Bucks,Eastern,Central
Chicago Bulls,47,35,.573,16.0,106.4,105.0,2.13,Chicago Bulls,Eastern,Central
Indiana Pacers,28,54,.341,35.0,106.9,111.1,-3.00,Indiana Pacers,Eastern,Central
Utah Jazz,51,31,.622,—,104.7,99.7,4.01,Utah Jazz,Western,Midwest
Houston Rockets,45,37,.549,6.0,108.5,107.5,0.22,Houston Rockets,Western,Midwest
Denver Nuggets,44,38,.537,7.0,118.0,116.3,0.91,Denver Nuggets,Western,Midwest
Dallas Mavericks,38,44,.463,13.0,103.5,104.7,-1.79,Dallas Mavericks,Western,Midwest
San Antonio Spurs,21,61,.256,30.0,105.5,112.8,-7.45,San Antonio Spurs,Western,Midwest
Miami Heat,15,67,.183,36.0,97.8,109.0,-11.13,Miami Heat,Western,Atlantic
Los Angeles Lakers,57,25,.695,—,114.7,107.5,6.38,Los Angeles Lakers,Western,Pacific
Phoenix Suns,55,27,.671,2.0,118.6,110.9,6.84,Phoenix Suns,Western,Pacific
Seattle SuperSonics,47,35,.573,10.0,112.1,109.2,2.44,Seattle SuperSonics,Western,Pacific
Golden State Warriors,43,39,.524,14.0,116.6,116.9,-0.59,Golden State Warriors,Western,Pacific
Portland Trail Blazers,39,43,.476,18.0,114.6,113.1,0.92,Portland Trail Blazers,Western,Pacific
Sacramento Kings,27,55,.329,30.0,105.5,111.0,-5.35,Sacramento Kings,Western,Pacific
Los Angeles Clippers,21,61,.256,36.0,106.2,116.2,-9.50,Los Angeles Clippers,Western,Pacific
