Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Adrian Dantley,UTA,80.0,42.7,11.4,20.3,0.559,0.0,0.286,11.3,0.56,0.559,7.9,9.8,0.806,2.4,4.0,6.4,4.0,1.4,0.2,3.5,30.7,1980-81,0.62,0.36,0,23,0
Moses Malone,HOU,80.0,40.6,10.1,19.3,0.522,0.0,0.333,10.1,0.522,0.522,7.6,10.1,0.757,5.9,8.8,14.8,1.8,1.0,1.9,3.9,27.8,1980-81,0.59,0.4,1,16,1
George Gervin,SAS,82.0,33.7,10.4,21.1,0.492,0.1,0.257,10.3,0.496,0.494,6.2,7.6,0.826,1.5,3.6,5.1,3.2,1.1,0.7,3.1,27.1,1980-81,0.55,0.27,1,10,1
Kareem Abdul-Jabbar,LAL,80.0,37.2,10.5,18.2,0.574,0.0,0.0,10.5,0.574,0.574,5.3,6.9,0.766,2.5,7.8,10.3,3.4,0.7,2.9,3.1,26.2,1980-81,0.62,0.39,1,9,1
David Thompson,DEN,77.0,34.0,9.5,18.8,0.506,0.1,0.256,9.4,0.513,0.509,6.4,8.0,0.795,1.4,2.3,3.7,3.0,0.7,0.8,3.2,25.5,1980-81,0.57,0.25,0,19,0
Otis Birdsong,KCK,71.0,36.5,10.0,18.4,0.544,0.1,0.286,9.9,0.551,0.547,4.5,6.4,0.697,1.7,2.0,3.6,3.3,1.3,0.3,2.4,24.6,1980-81,0.58,0.29,0,-1,0
Julius Erving,PHI,82.0,35.0,9.7,18.6,0.521,0.0,0.222,9.6,0.525,0.522,5.1,6.5,0.787,3.0,5.0,8.0,4.4,2.1,1.8,3.2,24.6,1980-81,0.57,0.33,1,5,1
Mike Mitchell,CLE,82.0,39.0,10.4,21.8,0.476,0.0,0.444,10.4,0.476,0.477,3.7,4.7,0.784,2.6,3.5,6.1,1.7,0.8,0.6,2.1,24.5,1980-81,0.51,0.23,0,24,0
World B. Free,GSW,65.0,36.5,7.9,17.8,0.446,0.1,0.161,7.9,0.454,0.448,8.1,10.0,0.814,0.7,1.7,2.4,5.6,1.3,0.2,3.0,24.1,1980-81,0.54,0.29,0,17,0
Alex English,DEN,81.0,38.2,9.5,19.2,0.494,0.0,0.6,9.4,0.494,0.495,4.8,5.7,0.85,3.4,4.6,8.0,3.6,1.3,1.2,3.0,23.8,1980-81,0.55,0.3,0,19,0
Jamaal Wilkes,LAL,81.0,37.4,9.7,18.5,0.526,0.0,0.077,9.7,0.53,0.526,3.1,4.1,0.758,1.8,3.6,5.4,2.9,1.5,0.4,2.6,22.6,1980-81,0.56,0.25,0,9,1
Dan Issel,DEN,80.0,33.0,7.7,15.3,0.503,0.0,0.167,7.7,0.507,0.504,6.5,8.6,0.759,2.9,5.6,8.5,2.0,1.0,0.7,1.6,21.9,1980-81,0.57,0.28,0,19,0
