Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated
Shaquille O'Neal,ORL,79.0,37.0,11.8,20.2,0.583,0.0,0.0,11.8,0.585,0.583,5.8,10.8,0.533,4.2,7.3,11.4,2.7,0.9,2.4,2.6,29.3,1994-95,0.59,0.39,1
Hakeem Olajuwon,HOU,72.0,39.6,11.1,21.5,0.517,0.0,0.188,11.0,0.52,0.517,5.6,7.5,0.756,2.4,8.4,10.8,3.5,1.8,3.4,3.3,27.8,1994-95,0.56,0.44,1
David Robinson,SAS,81.0,38.0,9.7,18.4,0.53,0.1,0.3,9.7,0.533,0.532,8.1,10.5,0.774,2.9,7.9,10.8,2.9,1.7,3.2,2.9,27.6,1994-95,0.6,0.4,1
Michael Jordan,CHI,17.0,39.3,9.8,23.8,0.411,0.9,0.5,8.8,0.403,0.431,6.4,8.0,0.801,1.5,5.4,6.9,5.3,1.8,0.8,2.1,26.9,1994-95,0.49,1.41,0
Karl Malone,UTA,82.0,38.1,10.1,18.9,0.536,0.1,0.268,10.0,0.543,0.54,6.3,8.5,0.742,1.9,8.7,10.6,3.5,1.6,1.0,2.9,26.7,1994-95,0.59,0.36,1
Jim Jackson,DAL,51.0,38.9,9.5,20.1,0.472,0.7,0.318,8.8,0.49,0.489,6.0,7.5,0.805,2.4,2.7,5.1,3.7,0.5,0.2,3.1,25.7,1994-95,0.55,0.39,0
Jamal Mashburn,DAL,80.0,37.3,8.5,19.6,0.436,1.4,0.328,7.1,0.466,0.472,5.6,7.6,0.739,1.5,2.7,4.1,3.7,1.0,0.1,2.9,24.1,1994-95,0.53,0.21,0
Patrick Ewing,NYK,79.0,37.0,9.2,18.4,0.503,0.1,0.286,9.2,0.506,0.505,5.3,7.1,0.75,2.0,9.0,11.0,2.7,0.9,2.0,3.2,23.9,1994-95,0.56,0.33,1
Charles Barkley,PHO,68.0,35.0,8.1,16.8,0.486,1.1,0.338,7.1,0.521,0.518,5.6,7.5,0.748,3.0,8.1,11.1,4.1,1.6,0.7,2.2,23.0,1994-95,0.57,0.41,1
Mitch Richmond,SAC,82.0,38.7,8.1,18.3,0.446,1.9,0.368,6.2,0.477,0.498,4.6,5.4,0.843,0.8,3.5,4.4,3.8,1.1,0.4,2.9,22.8,1994-95,0.55,0.23,0
Glen Rice,MIA,82.0,36.8,8.1,17.1,0.475,2.3,0.41,5.9,0.506,0.541,3.8,4.5,0.855,1.2,3.4,4.6,2.3,1.4,0.2,1.9,22.3,1994-95,0.58,0.23,0
Glenn Robinson,MIL,80.0,37.0,8.0,17.6,0.451,1.1,0.321,6.9,0.482,0.482,5.0,6.2,0.796,2.1,4.3,6.4,2.5,1.4,0.3,3.9,21.9,1994-95,0.54,0.22,0
Clyde Drexler,2TM,76.0,35.9,7.5,16.3,0.461,1.9,0.36,5.6,0.511,0.521,4.8,5.8,0.824,2.0,4.3,6.3,4.8,1.8,0.6,2.4,21.8,1994-95,0.58,0.3,0
Cedric Ceballos,LAL,58.0,35.0,8.6,16.8,0.509,1.0,0.397,7.6,0.528,0.538,3.6,5.0,0.716,2.9,5.1,8.0,1.8,1.0,0.3,2.5,21.7,1994-95,0.57,0.36,0
Scottie Pippen,CHI,79.0,38.2,8.0,16.7,0.48,1.4,0.345,6.6,0.523,0.522,4.0,5.6,0.716,2.2,5.9,8.1,5.2,2.9,1.1,3.4,21.4,1994-95,0.56,0.32,1
Alonzo Mourning,CHH,77.0,38.2,7.4,14.3,0.519,0.1,0.324,7.3,0.525,0.524,6.4,8.4,0.761,2.6,7.3,9.9,1.4,0.6,2.9,3.1,21.3,1994-95,0.59,0.31,0
Clifford Robinson,POR,75.0,36.3,8.0,17.6,0.452,1.9,0.371,6.1,0.486,0.506,3.5,5.1,0.694,2.0,3.6,5.6,2.6,1.1,1.1,2.1,21.3,1994-95,0.54,0.25,0
Anfernee Hardaway,ORL,77.0,37.7,7.6,14.8,0.512,1.1,0.349,6.5,0.558,0.55,4.6,6.0,0.769,1.8,2.6,4.4,7.2,1.7,0.3,3.4,20.9,1994-95,0.6,0.29,0
Dana Barros,PHI,82.0,40.5,7.0,14.2,0.49,2.4,0.464,4.6,0.505,0.575,4.2,4.7,0.899,0.3,3.0,3.3,7.5,1.8,0.0,3.0,20.6,1994-95,0.63,0.27,0
Gary Payton,SEA,82.0,36.8,8.4,16.4,0.509,0.9,0.302,7.5,0.553,0.535,3.0,4.2,0.716,1.3,2.1,3.4,7.1,2.5,0.2,2.5,20.6,1994-95,0.56,0.27,1
Latrell Sprewell,GSW,69.0,40.2,7.1,17.0,0.418,1.3,0.276,5.8,0.473,0.457,5.1,6.5,0.781,0.8,2.9,3.7,4.0,1.6,0.7,3.3,20.6,1994-95,0.52,0.23,1
