Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF
Michael Jordan,CHI,82.0,37.9,11.2,23.1,0.486,1.4,0.374,9.9,0.507,0.516,5.9,7.0,0.833,1.4,4.5,5.9,4.3,1.7,0.5,2.0,29.6,1996-97,0.57,0.33
Karl Malone,UTA,82.0,36.6,10.5,19.2,0.55,0.0,0.0,10.5,0.555,0.55,6.4,8.4,0.755,2.4,7.5,9.9,4.5,1.4,0.6,2.8,27.4,1996-97,0.6,0.37
Glen Rice,CHH,79.0,42.6,9.1,19.2,0.477,2.6,0.47,6.5,0.48,0.546,5.9,6.8,0.867,0.8,3.2,4.0,2.0,0.9,0.3,2.2,26.8,1996-97,0.6,0.26
Shaquille O'Neal,LAL,51.0,38.1,10.8,19.4,0.557,0.0,0.0,10.8,0.559,0.557,4.5,9.4,0.484,3.8,8.7,12.5,3.1,0.9,2.9,2.9,26.2,1996-97,0.56,0.57
Mitch Richmond,SAC,81.0,38.6,8.9,19.5,0.454,2.5,0.428,6.3,0.466,0.519,5.6,6.6,0.861,0.7,3.2,3.9,4.2,1.5,0.3,2.9,25.9,1996-97,0.58,0.26
Latrell Sprewell,GSW,80.0,41.9,8.1,18.1,0.449,1.8,0.354,6.3,0.488,0.5,6.2,7.3,0.843,0.7,3.9,4.6,6.3,1.7,0.6,4.0,24.2,1996-97,0.57,0.28
Allen Iverson,PHI,76.0,40.1,8.2,19.8,0.416,2.0,0.341,6.2,0.448,0.467,5.0,7.2,0.702,1.5,2.6,4.1,7.5,2.1,0.3,4.4,23.5,1996-97,0.51,0.25
Hakeem Olajuwon,HOU,78.0,36.6,9.3,18.3,0.51,0.1,0.313,9.3,0.512,0.512,4.5,5.7,0.787,2.2,7.0,9.2,3.0,1.5,2.2,3.6,23.2,1996-97,0.56,0.32
Patrick Ewing,NYK,78.0,37.0,8.4,17.2,0.488,0.0,0.222,8.4,0.49,0.489,5.6,7.5,0.754,2.2,8.4,10.7,2.0,0.9,2.4,3.4,22.4,1996-97,0.55,0.31
LaPhonso Ellis,DEN,55.0,36.4,8.1,18.4,0.439,1.7,0.367,6.4,0.464,0.486,4.0,5.1,0.773,1.9,5.1,7.0,2.4,0.8,0.7,2.1,21.9,1996-97,0.53,0.35
Kendall Gill,NJN,82.0,39.0,7.9,17.7,0.443,0.9,0.336,7.0,0.462,0.469,5.2,6.5,0.797,2.2,3.9,6.1,4.0,1.9,0.6,2.7,21.8,1996-97,0.53,0.25
Gary Payton,SEA,82.0,39.2,8.6,18.1,0.476,1.5,0.313,7.2,0.533,0.517,3.1,4.3,0.715,1.3,3.3,4.6,7.1,2.4,0.2,2.6,21.8,1996-97,0.55,0.28
Reggie Miller,IND,81.0,36.6,6.8,15.4,0.444,2.8,0.427,4.0,0.456,0.536,5.2,5.9,0.88,0.7,2.9,3.5,3.4,0.9,0.3,2.0,21.6,1996-97,0.6,0.23
Grant Hill,DET,80.0,39.3,7.8,15.7,0.496,0.1,0.303,7.7,0.502,0.5,5.6,7.9,0.711,1.5,7.5,9.0,7.3,1.8,0.6,3.2,21.4,1996-97,0.56,0.33
Glenn Robinson,MIL,80.0,38.9,8.4,18.0,0.465,0.8,0.35,7.6,0.482,0.487,3.6,4.6,0.791,1.6,4.7,6.3,3.1,1.3,0.9,3.4,21.1,1996-97,0.53,0.23
Vin Baker,MIL,78.0,40.5,8.1,16.0,0.505,0.2,0.278,7.9,0.515,0.511,4.6,6.7,0.687,3.4,6.9,10.3,2.7,1.0,1.4,3.1,21.0,1996-97,0.55,0.3
Jerry Stackhouse,PHI,81.0,39.1,6.6,16.1,0.407,1.3,0.298,5.3,0.446,0.446,6.3,8.2,0.766,1.9,2.2,4.2,3.1,1.1,0.8,3.9,20.7,1996-97,0.53,0.18
Tom Gugliotta,MIN,81.0,38.7,7.3,16.5,0.442,0.3,0.258,7.0,0.456,0.451,5.7,7.0,0.82,2.3,6.4,8.7,4.1,1.6,1.1,3.6,20.6,1996-97,0.53,0.27
Anfernee Hardaway,ORL,59.0,37.6,7.1,15.9,0.447,1.4,0.318,5.7,0.499,0.493,4.8,5.8,0.82,1.4,3.1,4.5,5.6,1.6,0.6,2.5,20.5,1996-97,0.56,0.35
Tim Hardaway,MIA,81.0,38.7,7.1,17.1,0.415,2.5,0.344,4.6,0.469,0.489,3.6,4.5,0.799,0.6,2.8,3.4,8.6,1.9,0.1,2.8,20.3,1996-97,0.53,0.25
Scottie Pippen,CHI,82.0,37.7,7.9,16.7,0.474,1.9,0.368,6.0,0.522,0.531,2.5,3.5,0.701,2.0,4.5,6.5,5.7,1.9,0.5,2.6,20.2,1996-97,0.55,0.27
Damon Stoudamire,TOR,81.0,40.9,7.0,17.4,0.401,2.2,0.355,4.8,0.426,0.463,4.1,5.0,0.823,1.1,3.0,4.1,8.8,1.5,0.2,3.6,20.2,1996-97,0.52,0.25
Kevin Johnson,PHO,70.0,38.0,6.3,12.7,0.496,1.3,0.441,5.0,0.512,0.546,6.3,7.4,0.852,0.8,2.8,3.6,9.3,1.5,0.2,3.1,20.1,1996-97,0.63,0.34
