Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank
Stephen Curry,GSW,63.0,34.2,10.4,21.7,0.482,5.3,0.421,5.1,0.569,0.605,5.7,6.3,0.916,0.5,5.0,5.5,5.8,1.2,0.1,3.4,32.0,2020-21,0.65,0.47,
Bradley Beal,WAS,60.0,35.8,11.2,23.0,0.485,2.2,0.349,9.0,0.535,0.532,6.8,7.7,0.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,31.3,2020-21,0.59,0.44,
Damian Lillard,POR,67.0,35.8,9.0,19.9,0.451,4.1,0.391,4.9,0.519,0.554,6.7,7.2,0.928,0.5,3.7,4.2,7.5,0.9,0.3,3.0,28.8,2020-21,0.62,0.41,
Joel Embiid,PHI,51.0,31.1,9.0,17.6,0.513,1.1,0.377,7.9,0.541,0.545,9.2,10.7,0.859,2.2,8.4,10.6,2.8,1.0,1.4,3.1,28.5,2020-21,0.64,0.61,
Giannis Antetokounmpo,MIL,61.0,33.0,10.3,18.0,0.569,1.1,0.303,9.2,0.636,0.6,6.5,9.5,0.685,1.6,9.4,11.0,5.9,1.2,1.2,3.4,28.1,2020-21,0.63,0.55,
Luka Dončić,DAL,66.0,34.3,9.8,20.5,0.479,2.9,0.35,6.9,0.567,0.55,5.2,7.1,0.73,0.8,7.2,8.0,8.6,1.0,0.5,4.3,27.7,2020-21,0.59,0.44,
Zach LaVine,CHI,58.0,35.1,9.8,19.4,0.507,3.4,0.419,6.4,0.571,0.596,4.4,5.1,0.849,0.6,4.4,5.0,4.9,0.8,0.5,3.5,27.4,2020-21,0.63,0.43,
Zion Williamson,NOP,61.0,33.2,10.4,17.0,0.611,0.2,0.294,10.2,0.622,0.616,6.0,8.7,0.698,2.7,4.5,7.2,3.7,0.9,0.6,2.7,27.0,2020-21,0.65,0.45,
Kevin Durant,BRK,35.0,33.1,9.3,17.2,0.537,2.4,0.45,6.8,0.577,0.608,6.0,6.8,0.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,26.9,2020-21,0.67,0.84,
Kyrie Irving,BRK,54.0,34.9,10.2,20.1,0.506,2.8,0.402,7.4,0.561,0.576,3.7,4.0,0.922,1.0,3.8,4.8,6.0,1.4,0.7,2.4,26.9,2020-21,0.62,0.5,
Nikola Jokić,DEN,72.0,34.6,10.2,18.0,0.566,1.3,0.388,8.9,0.606,0.602,4.8,5.5,0.868,2.8,8.0,10.8,8.3,1.3,0.7,3.1,26.4,2020-21,0.65,0.5,
Donovan Mitchell,UTA,53.0,33.4,9.0,20.6,0.438,3.4,0.386,5.7,0.476,0.52,5.0,6.0,0.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,26.4,2020-21,0.57,0.41,
