Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Previously_Nominated,TS%,EFF
Joel Embiid,PHI,39.0,33.6,11.5,21.8,0.529,1.4,0.388,10.2,0.556,0.561,10.2,11.6,0.883,2.4,8.6,11.0,5.6,1.2,1.7,3.8,34.7,2023-24,0,0.64,0.99
Luka Dončić,DAL,70.0,37.5,11.5,23.6,0.487,4.1,0.382,7.4,0.573,0.573,6.8,8.7,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4.0,33.9,2023-24,0,0.62,0.53
Giannis Antetokounmpo,MIL,73.0,35.2,11.5,18.8,0.611,0.5,0.274,11.0,0.645,0.624,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,30.4,2023-24,0,0.65,0.5
Shai Gilgeous-Alexander,OKC,75.0,34.0,10.6,19.8,0.535,1.3,0.353,9.3,0.576,0.567,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2.0,0.9,2.2,30.1,2023-24,0,0.64,0.43
Jalen Brunson,NYK,77.0,35.4,10.3,21.4,0.479,2.7,0.401,7.5,0.516,0.543,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,28.7,2023-24,0,0.59,0.33
Devin Booker,PHO,68.0,36.0,9.4,19.2,0.492,2.2,0.364,7.2,0.552,0.55,6.0,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,27.1,2023-24,0,0.61,0.39
Kevin Durant,PHO,75.0,37.2,10.0,19.1,0.523,2.2,0.413,7.8,0.567,0.581,4.8,5.6,0.856,0.5,6.1,6.6,5.0,0.9,1.2,3.3,27.1,2023-24,0,0.63,0.37
Jayson Tatum,BOS,74.0,35.7,9.1,19.3,0.471,3.1,0.376,6.0,0.542,0.552,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1.0,0.6,2.5,26.9,2023-24,0,0.6,0.37
De'Aaron Fox,SAC,74.0,35.9,9.7,20.9,0.465,2.9,0.369,6.8,0.522,0.534,4.2,5.7,0.738,0.9,3.7,4.6,5.6,2.0,0.4,2.6,26.6,2023-24,0,0.57,0.32
Donovan Mitchell,CLE,55.0,35.3,9.1,19.8,0.462,3.3,0.368,5.8,0.539,0.545,5.0,5.8,0.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,26.6,2023-24,0,0.6,0.47
Stephen Curry,GSW,74.0,32.7,8.8,19.5,0.45,4.8,0.408,4.0,0.515,0.573,4.0,4.4,0.923,0.5,4.0,4.5,5.1,0.7,0.4,2.8,26.4,2023-24,0,0.62,0.31
Nikola Jokić,DEN,79.0,34.6,10.4,17.9,0.583,1.1,0.359,9.4,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,26.4,2023-24,0,0.65,0.49
Anthony Edwards,MIN,79.0,35.1,9.1,19.7,0.461,2.4,0.357,6.7,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,25.9,2023-24,0,0.58,0.3
Tyrese Maxey,PHI,70.0,37.5,9.1,20.3,0.45,3.0,0.373,6.1,0.501,0.524,4.7,5.4,0.868,0.5,3.2,3.7,6.2,1.0,0.5,1.7,25.9,2023-24,0,0.57,0.34
LeBron James,LAL,71.0,35.3,9.6,17.9,0.54,2.1,0.41,7.5,0.592,0.599,4.3,5.7,0.75,0.9,6.4,7.3,8.3,1.3,0.5,3.5,25.7,2023-24,0,0.63,0.42
Trae Young,ATL,54.0,36.0,8.0,18.7,0.43,3.2,0.373,4.8,0.479,0.516,6.4,7.5,0.855,0.4,2.3,2.8,10.8,1.3,0.2,4.4,25.7,2023-24,0,0.58,0.46
Kyrie Irving,DAL,58.0,35.0,9.7,19.5,0.497,3.0,0.411,6.7,0.548,0.573,3.3,3.6,0.905,0.8,4.2,5.0,5.2,1.3,0.5,1.8,25.6,2023-24,0,0.61,0.44
Ja Morant,MEM,9.0,35.3,8.9,18.9,0.471,1.6,0.275,7.3,0.555,0.512,5.8,7.1,0.813,0.7,4.9,5.6,8.1,0.8,0.6,3.0,25.1,2023-24,0,0.57,2.88
Anthony Davis,LAL,76.0,35.5,9.4,16.9,0.556,0.4,0.271,9.0,0.582,0.567,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,24.7,2023-24,0,0.62,0.44
Damian Lillard,MIL,73.0,35.3,7.4,17.5,0.424,3.0,0.354,4.4,0.49,0.51,6.5,7.0,0.92,0.5,3.9,4.4,7.0,1.0,0.2,2.6,24.3,2023-24,0,0.59,0.32
DeMar DeRozan,CHI,79.0,37.8,8.2,17.2,0.48,0.9,0.333,7.3,0.509,0.507,6.6,7.7,0.853,0.5,3.8,4.3,5.3,1.1,0.6,1.7,24.0,2023-24,0,0.58,0.3
Julius Randle,NYK,46.0,35.4,8.6,18.2,0.472,1.7,0.311,6.9,0.539,0.518,5.1,6.6,0.781,2.2,7.0,9.2,5.0,0.5,0.3,3.5,24.0,2023-24,0,0.57,0.53
LaMelo Ball,CHO,22.0,32.3,8.3,19.2,0.433,3.2,0.355,5.1,0.5,0.515,4.1,4.7,0.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,23.9,2023-24,0,0.56,1.08
Desmond Bane,MEM,42.0,34.4,8.6,18.5,0.464,3.3,0.381,5.3,0.536,0.552,3.3,3.8,0.87,0.9,3.5,4.4,5.5,1.0,0.5,2.7,23.7,2023-24,0,0.59,0.52
Kawhi Leonard,LAC,68.0,34.3,9.0,17.1,0.525,2.1,0.417,6.9,0.569,0.585,3.7,4.2,0.885,1.2,4.9,6.1,3.6,1.6,0.9,1.8,23.7,2023-24,0,0.63,0.37
Lauri Markkanen,UTA,55.0,33.1,7.8,16.2,0.48,3.2,0.399,4.6,0.559,0.578,4.5,5.0,0.899,2.2,5.9,8.2,2.0,0.9,0.5,1.4,23.2,2023-24,0,0.63,0.45
Jaylen Brown,BOS,70.0,33.5,9.0,17.9,0.499,2.1,0.354,6.9,0.57,0.557,3.0,4.3,0.703,1.2,4.3,5.5,3.6,1.2,0.5,2.4,23.0,2023-24,0,0.58,0.3
Zion Williamson,NOP,70.0,31.5,8.9,15.6,0.57,0.1,0.333,8.8,0.574,0.573,5.0,7.1,0.702,1.7,4.1,5.8,5.0,1.1,0.7,2.8,22.9,2023-24,0,0.61,0.34
Cade Cunningham,DET,62.0,33.5,8.5,18.8,0.449,1.9,0.355,6.5,0.487,0.5,3.8,4.4,0.869,0.5,3.8,4.3,7.5,0.9,0.4,3.4,22.7,2023-24,0,0.55,0.35
Paolo Banchero,ORL,80.0,35.0,8.0,17.6,0.455,1.5,0.339,6.5,0.493,0.497,5.1,7.0,0.725,1.0,5.9,6.9,5.4,0.9,0.6,3.1,22.6,2023-24,0,0.55,0.27
Paul George,LAC,74.0,33.8,7.9,16.7,0.471,3.3,0.413,4.6,0.523,0.569,3.6,3.9,0.907,0.5,4.7,5.2,3.5,1.5,0.5,2.1,22.6,2023-24,0,0.61,0.3
Anfernee Simons,POR,46.0,34.4,7.8,18.2,0.43,3.4,0.385,4.4,0.472,0.523,3.5,3.9,0.916,0.5,3.2,3.6,5.5,0.5,0.1,2.7,22.6,2023-24,0,0.57,0.41
Jaren Jackson Jr.,MEM,66.0,32.2,7.8,17.6,0.444,1.8,0.32,6.0,0.501,0.494,5.1,6.3,0.808,1.3,4.2,5.5,2.3,1.2,1.6,2.4,22.5,2023-24,0,0.55,0.3
Dejounte Murray,ATL,78.0,35.7,8.6,18.8,0.459,2.6,0.363,6.0,0.518,0.528,2.7,3.4,0.794,0.8,4.5,5.3,6.4,1.4,0.3,2.6,22.5,2023-24,0,0.55,0.29
Cam Thomas,BRK,66.0,31.4,8.0,18.0,0.442,2.2,0.364,5.8,0.481,0.503,4.3,5.1,0.856,0.4,2.8,3.2,2.9,0.7,0.2,1.9,22.5,2023-24,0,0.56,0.25
Kyle Kuzma,WAS,70.0,32.6,8.7,18.8,0.463,2.2,0.336,6.5,0.53,0.521,2.7,3.4,0.775,0.9,5.7,6.6,4.2,0.5,0.7,2.7,22.2,2023-24,0,0.55,0.3
Karl-Anthony Towns,MIN,62.0,32.7,7.7,15.3,0.504,2.2,0.416,5.5,0.55,0.575,4.1,4.7,0.873,1.5,6.8,8.3,3.0,0.7,0.7,2.9,21.8,2023-24,0,0.63,0.38
Pascal Siakam,2TM,80.0,33.2,8.5,15.9,0.536,1.1,0.346,7.5,0.581,0.569,3.6,5.0,0.732,1.7,5.3,7.1,4.3,0.8,0.3,1.8,21.7,2023-24,0,0.6,0.29
Victor Wembanyama,SAS,71.0,29.7,7.8,16.7,0.465,1.8,0.325,6.0,0.534,0.519,4.1,5.2,0.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,21.4,2023-24,0,0.56,0.38
Jamal Murray,DEN,59.0,31.5,8.0,16.7,0.481,2.5,0.425,5.6,0.51,0.554,2.7,3.1,0.853,0.7,3.4,4.1,6.5,1.0,0.7,2.1,21.2,2023-24,0,0.59,0.38
Alperen Sengun,HOU,63.0,32.5,8.4,15.6,0.537,0.5,0.297,7.8,0.567,0.553,3.9,5.6,0.693,2.9,6.4,9.3,5.0,1.2,0.7,2.6,21.1,2023-24,0,0.58,0.41
Miles Bridges,CHO,69.0,37.4,8.1,17.5,0.462,2.3,0.349,5.8,0.529,0.527,2.5,3.1,0.825,1.0,6.3,7.3,3.3,0.9,0.5,2.0,21.0,2023-24,0,0.56,0.3
