Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Michael Jordan,CHI,82.0,40.4,13.0,24.4,0.535,0.1,0.132,13.0,0.546,0.537,8.8,10.5,0.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,35.0,1987-88,0.6,0.43,1,11,1
Dominique Wilkins,ATL,78.0,37.8,11.7,25.1,0.464,0.5,0.295,11.2,0.476,0.474,6.9,8.4,0.826,2.7,3.7,6.4,2.9,1.3,0.6,2.8,30.7,1987-88,0.53,0.31,1,12,1
Larry Bird,BOS,76.0,39.0,11.6,22.0,0.527,1.3,0.414,10.3,0.546,0.556,5.5,6.0,0.916,1.4,7.8,9.3,6.1,1.6,0.8,2.8,29.9,1987-88,0.61,0.45,1,6,1
Charles Barkley,PHI,80.0,39.6,9.4,16.0,0.587,0.6,0.28,8.9,0.63,0.604,8.9,11.9,0.751,4.8,7.1,11.9,3.2,1.3,1.3,3.8,28.3,1987-88,0.67,0.41,1,21,0
Karl Malone,UTA,82.0,39.0,10.5,20.1,0.52,0.0,0.0,10.5,0.522,0.52,6.7,9.6,0.7,3.4,8.6,12.0,2.4,1.4,0.6,4.0,27.7,1987-88,0.57,0.34,1,13,1
Clyde Drexler,POR,81.0,37.8,10.5,20.7,0.506,0.1,0.212,10.3,0.515,0.509,5.9,7.2,0.811,3.2,3.4,6.6,5.8,2.5,0.6,2.9,27.0,1987-88,0.57,0.35,0,10,1
Dale Ellis,SEA,75.0,37.2,10.2,20.3,0.503,1.4,0.413,8.8,0.521,0.538,4.0,5.3,0.767,2.2,2.3,4.5,2.6,1.0,0.1,2.3,25.8,1987-88,0.57,0.27,0,15,1
Mark Aguirre,DAL,77.0,33.9,9.7,20.4,0.475,0.7,0.302,9.0,0.496,0.491,5.0,6.5,0.77,2.4,3.3,5.6,3.6,0.9,0.7,2.6,25.1,1987-88,0.54,0.27,1,9,1
Alex English,DEN,80.0,35.2,10.5,21.3,0.495,0.0,0.0,10.5,0.496,0.495,3.9,4.7,0.828,2.1,2.6,4.7,4.7,0.9,0.3,2.3,25.0,1987-88,0.53,0.27,1,8,1
Hakeem Olajuwon,HOU,79.0,35.8,9.0,17.5,0.514,0.0,0.0,9.0,0.516,0.514,4.8,6.9,0.695,3.8,8.3,12.1,2.1,2.1,2.7,3.1,22.8,1987-88,0.56,0.36,1,14,1
Kevin McHale,BOS,64.0,37.3,8.6,14.2,0.604,0.0,,8.6,0.604,0.604,5.4,6.8,0.797,2.5,5.9,8.4,2.7,0.4,1.4,2.2,22.6,1987-88,0.66,0.41,1,6,1
Byron Scott,LAL,81.0,37.6,8.8,16.6,0.527,0.8,0.346,8.0,0.554,0.55,3.4,3.9,0.858,0.9,3.2,4.1,4.1,1.9,0.3,2.0,21.7,1987-88,0.59,0.27,0,5,1
Reggie Theus,SAC,73.0,36.3,8.5,18.1,0.47,0.2,0.271,8.3,0.479,0.476,4.4,5.3,0.831,1.0,2.2,3.2,6.3,0.8,0.2,3.2,21.6,1987-88,0.53,0.25,0,24,0
Xavier McDaniel,SEA,78.0,34.7,8.8,18.0,0.488,0.2,0.28,8.6,0.496,0.493,3.6,5.0,0.715,2.6,4.0,6.6,3.4,1.2,0.7,2.9,21.4,1987-88,0.53,0.25,0,15,1
Terry Cummings,MIL,76.0,34.6,8.9,18.3,0.485,0.0,0.333,8.9,0.485,0.485,3.6,5.3,0.665,2.4,4.9,7.3,2.4,1.0,0.6,2.2,21.3,1987-88,0.52,0.25,0,16,1
Otis Thorpe,SAC,82.0,37.5,7.6,15.0,0.507,0.0,0.0,7.6,0.51,0.507,5.6,7.4,0.755,3.4,6.8,10.2,3.2,0.8,0.7,2.8,20.8,1987-88,0.57,0.29,0,24,0
Jeff Malone,WSB,80.0,33.2,8.1,17.0,0.476,0.1,0.417,8.0,0.478,0.48,4.2,4.8,0.882,0.6,2.0,2.6,3.0,0.6,0.2,2.2,20.5,1987-88,0.54,0.19,0,18,1
Tom Chambers,SEA,82.0,32.7,7.5,16.6,0.448,0.4,0.303,7.0,0.461,0.46,5.1,6.3,0.807,1.6,4.3,6.0,2.6,1.1,0.6,2.5,20.4,1987-88,0.53,0.22,0,15,1
Moses Malone,WSB,79.0,34.1,6.7,13.8,0.487,0.0,0.286,6.7,0.488,0.488,6.9,8.7,0.788,4.7,6.5,11.2,1.4,0.7,0.9,3.2,20.3,1987-88,0.58,0.28,1,18,1
Patrick Ewing,NYK,82.0,31.0,8.0,14.4,0.555,0.0,0.0,8.0,0.556,0.555,4.2,5.8,0.716,3.0,5.3,8.2,1.5,1.3,3.0,3.5,20.2,1987-88,0.6,0.28,0,19,1
Chris Mullin,GSW,60.0,33.9,7.8,15.4,0.508,0.6,0.351,7.3,0.526,0.526,4.0,4.5,0.885,1.0,2.5,3.4,4.8,1.9,0.5,2.6,20.2,1987-88,0.58,0.33,0,25,0
Kiki Vandeweghe,POR,37.0,28.1,7.6,15.1,0.508,0.6,0.379,7.1,0.523,0.528,4.3,4.9,0.878,1.0,2.0,2.9,1.9,0.6,0.2,1.3,20.2,1987-88,0.59,0.44,0,10,1
Adrian Dantley,DET,69.0,31.1,6.4,12.5,0.514,0.0,0.0,6.4,0.516,0.514,7.1,8.3,0.86,1.2,2.1,3.3,2.5,0.6,0.1,2.0,20.0,1987-88,0.62,0.25,0,7,1
James Worthy,LAL,75.0,35.4,8.2,15.5,0.531,0.0,0.125,8.2,0.537,0.532,3.2,4.1,0.796,1.7,3.3,5.0,3.9,1.0,0.7,2.1,19.7,1987-88,0.57,0.27,0,5,1
Thurl Bailey,UTA,82.0,34.2,7.7,15.7,0.492,0.0,0.333,7.7,0.493,0.493,4.1,5.0,0.826,1.6,4.8,6.5,1.9,0.6,1.5,2.3,19.6,1987-88,0.55,0.23,0,13,1
Magic Johnson,LAL,72.0,36.6,6.8,13.8,0.492,0.2,0.196,6.7,0.51,0.497,5.8,6.8,0.853,1.2,5.0,6.2,11.9,1.6,0.2,3.7,19.6,1987-88,0.58,0.39,1,5,1
Alvin Robertson,SAS,82.0,36.3,8.0,17.2,0.465,0.3,0.284,7.7,0.478,0.475,3.3,4.5,0.748,2.0,4.1,6.1,6.8,3.0,0.8,3.1,19.6,1987-88,0.51,0.28,0,22,1
Isiah Thomas,DET,81.0,36.1,7.7,16.6,0.463,0.4,0.309,7.3,0.475,0.474,3.8,4.9,0.774,0.8,2.6,3.4,8.4,1.7,0.2,3.4,19.5,1987-88,0.52,0.24,1,7,1
Jerome Kersey,POR,79.0,36.6,7.7,15.5,0.499,0.0,0.2,7.7,0.502,0.5,3.7,5.0,0.735,2.7,5.6,8.3,3.1,1.6,0.8,2.0,19.2,1987-88,0.54,0.28,0,10,1
Larry Nance,2TM,67.0,35.6,7.3,13.7,0.529,0.0,0.333,7.2,0.531,0.53,4.5,5.8,0.779,2.9,6.2,9.1,3.1,0.9,2.4,2.3,19.1,1987-88,0.59,0.37,0,-1,0
Cliff Robinson,PHI,62.0,34.0,7.8,16.8,0.464,0.0,0.222,7.8,0.466,0.465,3.4,4.7,0.717,1.9,4.7,6.5,2.1,1.3,0.6,2.6,19.0,1987-88,0.5,0.27,0,21,0
Fat Lever,DEN,82.0,37.3,7.8,16.6,0.473,0.1,0.211,7.7,0.484,0.477,3.0,3.9,0.785,2.5,5.6,8.1,7.8,2.7,0.3,2.2,18.9,1987-88,0.52,0.32,1,8,1
Rolando Blackman,DAL,71.0,36.3,7.0,14.8,0.473,0.0,0.0,7.0,0.476,0.473,4.7,5.3,0.873,1.2,2.3,3.5,3.7,0.9,0.3,2.0,18.7,1987-88,0.55,0.24,1,9,1
Brad Daugherty,CLE,79.0,37.4,7.0,13.7,0.51,0.0,0.0,7.0,0.511,0.51,4.8,6.7,0.716,1.9,6.5,8.4,4.2,0.6,0.7,3.4,18.7,1987-88,0.56,0.26,0,17,1
Buck Williams,NJN,70.0,37.7,6.7,11.9,0.56,0.0,1.0,6.6,0.56,0.561,4.9,7.4,0.668,4.3,7.7,11.9,1.6,1.0,0.6,2.7,18.3,1987-88,0.6,0.33,0,26,0
Mike Woodson,LAC,80.0,31.7,7.0,15.8,0.445,0.2,0.231,6.8,0.459,0.452,3.7,4.3,0.868,0.8,1.6,2.4,3.4,1.4,0.3,2.3,18.0,1987-88,0.51,0.17,0,27,0
Walter Davis,PHO,68.0,28.7,7.2,15.2,0.473,0.5,0.375,6.6,0.483,0.491,3.0,3.4,0.887,0.5,1.9,2.3,4.1,1.3,0.0,1.9,17.9,1987-88,0.54,0.22,0,23,0
Eddie Johnson,PHO,73.0,29.8,7.3,15.2,0.48,0.3,0.255,7.0,0.501,0.491,2.8,3.3,0.85,1.7,2.7,4.4,2.5,0.5,0.1,1.9,17.7,1987-88,0.53,0.2,0,23,0
Walter Berry,SAS,73.0,26.3,7.4,13.2,0.563,0.0,,7.4,0.563,0.563,2.6,4.4,0.6,2.4,3.0,5.4,1.5,0.8,0.9,2.2,17.4,1987-88,0.57,0.22,0,22,1
Gerald Wilkins,NYK,81.0,33.4,7.3,16.3,0.446,0.5,0.302,6.8,0.462,0.461,2.4,3.0,0.786,1.3,2.0,3.3,4.0,1.1,0.3,2.6,17.4,1987-88,0.49,0.17,0,19,1
Bernard King,WSB,69.0,29.6,6.8,13.6,0.501,0.0,0.167,6.8,0.503,0.502,3.6,4.7,0.762,1.2,2.8,4.1,2.8,0.7,0.1,3.1,17.2,1987-88,0.55,0.2,0,18,1
Derek Harper,DAL,82.0,37.0,6.5,14.2,0.459,0.7,0.313,5.8,0.488,0.485,3.2,4.2,0.759,0.9,2.1,3.0,7.7,2.0,0.4,2.3,17.0,1987-88,0.53,0.23,0,9,1
Chuck Person,IND,79.0,35.5,7.3,15.8,0.459,0.7,0.333,6.5,0.48,0.483,1.7,2.5,0.67,2.2,4.6,6.8,3.9,0.9,0.1,2.7,17.0,1987-88,0.5,0.21,0,20,0
