Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
Giannis Antetokounmpo,30.0,MIL,PF,19.0,19.0,34.8,12.7,20.7,0.616,0.2,0.7,0.214,12.6,19.9,0.631,0.62,6.9,11.4,0.611,2.2,9.5,11.6,6.6,0.5,1.3,3.5,2.6,32.6,,2024-25
LaMelo Ball,23.0,CHO,PG,18.0,18.0,34.1,10.7,24.9,0.43,4.7,13.1,0.356,6.1,11.8,0.512,0.523,4.9,5.8,0.848,0.9,4.4,5.4,6.9,1.1,0.2,4.5,4.1,31.1,,2024-25
Nikola Jokić,29.0,DEN,C,17.0,17.0,37.7,11.4,20.4,0.559,2.1,4.2,0.5,9.3,16.2,0.575,0.611,5.0,6.1,0.817,3.9,9.5,13.4,10.4,1.8,0.8,3.7,1.9,29.9,,2024-25
Shai Gilgeous-Alexander,26.0,OKC,PG,22.0,22.0,34.1,10.5,20.6,0.507,2.0,6.3,0.326,8.4,14.4,0.585,0.556,6.8,8.0,0.857,0.9,4.5,5.4,6.5,1.8,1.0,2.6,2.0,29.8,,2024-25
Paolo Banchero,22.0,ORL,PF,5.0,5.0,36.4,9.6,19.4,0.495,2.2,6.4,0.344,7.4,13.0,0.569,0.552,7.6,11.8,0.644,2.4,6.4,8.8,5.6,0.6,0.8,2.2,2.6,29.0,,2024-25
Luka Dončić,25.0,DAL,PG,17.0,17.0,36.6,10.1,22.4,0.45,3.4,9.9,0.339,6.7,12.5,0.538,0.525,5.2,6.9,0.752,0.6,7.4,8.0,7.9,1.8,0.4,3.3,2.8,28.6,,2024-25
Jayson Tatum,26.0,BOS,PF,21.0,21.0,36.4,9.1,20.1,0.454,4.0,10.6,0.374,5.2,9.6,0.542,0.552,6.2,7.7,0.802,0.5,8.1,8.6,5.6,1.3,0.6,3.0,2.4,28.4,,2024-25
Anthony Davis,31.0,LAL,C,21.0,21.0,35.2,9.6,18.1,0.53,0.7,2.0,0.349,8.9,16.1,0.553,0.55,6.9,8.9,0.78,2.5,8.8,11.3,3.4,1.2,1.9,1.9,2.0,26.9,,2024-25
De'Aaron Fox,27.0,SAC,PG,23.0,23.0,37.7,9.9,20.3,0.485,2.1,6.3,0.338,7.7,14.0,0.551,0.537,5.0,6.2,0.803,1.1,4.0,5.1,5.8,1.9,0.2,3.6,2.6,26.8,,2024-25
Anthony Edwards,23.0,MIN,SG,21.0,21.0,36.4,9.0,20.4,0.443,4.5,10.6,0.423,4.6,9.9,0.464,0.552,3.6,4.5,0.8,0.7,4.8,5.5,3.7,1.4,0.6,3.0,2.0,26.2,,2024-25
